Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,195.720001,197.880005,194.940002,195.500000,195.500000,1
2020-05-19,196.059998,200.850006,194.000000,200.850006,200.850006,6
2020-05-20,200.000000,209.600006,200.000000,208.949997,208.949997,13
2020-05-21,211.000000,214.600006,209.199997,212.699997,212.699997,82
2020-05-22,210.600006,216.000000,209.800003,214.699997,214.699997,89
2020-05-25,219.000000,220.500000,217.750000,220.500000,220.500000,5
2020-05-26,221.500000,222.000000,214.399994,215.250000,215.250000,69
2020-05-27,213.550003,214.100006,201.949997,206.350006,206.350006,7
2020-05-28,206.699997,208.699997,204.399994,208.699997,208.699997,54
2020-05-29,203.600006,204.050003,201.800003,202.800003,202.800003,21
2020-06-02,206.750000,210.000000,202.750000,205.149994,205.149994,48
2020-06-03,208.199997,208.199997,204.000000,204.500000,204.500000,14
2020-06-04,204.350006,204.949997,200.300003,200.300003,200.300003,21
2020-06-05,200.600006,204.699997,199.899994,204.550003,204.550003,101
2020-06-08,205.500000,205.500000,201.850006,204.000000,204.000000,54
2020-06-09,204.500000,211.149994,203.449997,211.149994,211.149994,111
2020-06-10,211.250000,212.000000,207.850006,209.000000,209.000000,9
2020-06-11,206.750000,206.750000,199.520004,200.300003,200.300003,19
2020-06-12,200.350006,203.949997,200.250000,201.600006,201.600006,41
2020-06-15,197.679993,203.500000,195.119995,203.399994,203.399994,60
2020-06-16,207.949997,210.949997,207.649994,209.300003,209.300003,70
2020-06-17,209.250000,211.199997,207.050003,211.199997,211.199997,0
2020-06-18,208.000000,210.199997,208.000000,210.199997,210.199997,110
2020-06-19,210.000000,214.500000,210.000000,211.649994,211.649994,14
2020-06-22,212.850006,213.600006,211.800003,212.100006,212.100006,0
2020-06-23,212.149994,215.850006,212.000000,215.850006,215.850006,83
2020-06-24,214.149994,214.949997,207.199997,207.850006,207.850006,61
2020-06-25,207.800003,211.199997,207.800003,210.000000,210.000000,1
2020-06-26,207.800003,208.600006,197.300003,199.479996,199.479996,86
2020-06-29,185.320007,196.300003,184.820007,196.300003,196.300003,178
2020-06-30,197.800003,199.699997,195.320007,199.220001,199.220001,0
2020-07-01,201.149994,209.949997,200.550003,208.199997,208.199997,37
2020-07-02,211.050003,211.550003,208.149994,209.550003,209.550003,10
2020-07-03,208.250000,208.449997,206.750000,207.100006,207.100006,5
2020-07-06,209.949997,211.949997,206.149994,211.199997,211.199997,44
2020-07-07,211.750000,218.699997,210.850006,216.500000,216.500000,225
2020-07-08,212.149994,214.750000,210.300003,214.750000,214.750000,7
2020-07-09,215.399994,216.600006,213.350006,214.399994,214.399994,2
2020-07-10,215.550003,215.550003,212.000000,214.149994,214.149994,2
2020-07-13,217.149994,219.850006,216.949997,217.949997,217.949997,11
2020-07-14,213.800003,213.800003,206.100006,207.649994,207.649994,12
2020-07-15,212.449997,213.050003,208.850006,210.500000,210.500000,0
2020-07-16,208.500000,211.050003,206.899994,211.050003,211.050003,0
2020-07-17,210.149994,210.949997,208.550003,210.699997,210.699997,8
2020-07-20,209.449997,212.899994,208.500000,212.250000,212.250000,0
2020-07-21,215.850006,216.500000,210.600006,210.600006,210.600006,0
2020-07-22,210.600006,210.600006,206.350006,206.350006,206.350006,14
